"Timestamp","What is your gender?","What is your age range?","Have you previously used a digital health tracking system?","How often do you use health-related mobile applications?","Would you use a system that allows managing multiple family member profiles?","Preferred interface language:","How important is a simple and clear user interface?","How important is secure login before accessing health data?","Should different user roles have restricted access to data?","What best describes you?","Which hereditary conditions should the system support? (Select all that apply) ","Do you have any hereditary conditions? ","How important is tracking hereditary health data?","Would you find automated preventive alerts useful?","What type of recommendations should accompany alerts?","How useful is the ability to view appointments of multiple clinics and book an appointment through a single app (e.g., heart care centers, genetics and wellness clinics, or blood health clinic)?","How useful is the ability to manage your own health profile (e.g., add name and dosage of the drug your taking)","How useful is it to have a summary of your patients data and medical history","How important is it to view you patients list and the hereditary disease they carry? ","How important is it to prescribe the patients the drug they need by mentioning the drug name and the dosage?","How important is it to mark as complete, confirm and cancel patients appointment","How important is it to view the medical records of the patients family to see if they are prone to the same disease ","How important is the ability to update family member information?","Should the system allow editing and deleting family profiles?","How important is it that admins can add new clinics to the system?","How important is it that the system can easily add new awareness articles in the awareness hub?","How important is it that the system records all admin actions in the audit log?","What additional feature would you like to see in a preventive health tracking system?"
"2026/03/25 10:36:27 AM GMT+3","Female","19 - 25","Maybe","Rarely","Yes","Arabic","5","5","Yes","Family member","Diabetes;Hypertension;Cardiac diseases;High cholesterol","No","5","5","All of the above","5","5","","","","","","","","","","","Easy login for the user "
"2026/03/25 10:38:26 AM GMT+3","Female","19 - 25","Maybe","Rarely","Yes","Arabic","5","5","Yes","Healthcare Provider","","","","","","","","4","3","3","4","3","","","","","","Notification "
"2026/03/25 10:50:10 AM GMT+3","Female","19 - 25","Maybe","Rarely","Yes","Arabic","5","4","Yes","Family member","Diabetes","No","5","5","Suggested screening tests","5","5","","","","","","","","","","","In case of an emergency, such as a diabetic patient suffering from severe hypoglycemia, the app can track the situation and automatically contact the hospital or a designated family member"
"2026/03/25 11:27:34 AM GMT+3","Female","above 30","Yes","Frequently","Yes","Arabic","5","5","Yes","Family member","Diabetes;Hypertension;Cardiac diseases;High cholesterol","No","5","5","All of the above","5","5","","","","","","","","","","","nothing "
"2026/03/25 11:36:56 AM GMT+3","Female","15 -18","Yes","Occasionally","No","English","5","5","Yes","Family member","Diabetes;Hypertension;Cardiac diseases;High cholesterol","No","5","5","All of the above","5","5","","","","","","","","","","","-"
"2026/03/25 1:03:51 PM GMT+3","Female","19 - 25","Maybe","Occasionally","Yes","English","5","5","Yes","Patient","Diabetes;Hypertension;Cardiac diseases;High cholesterol","No","5","5","All of the above","5","5","","","","","","","","","","","Alerts or advice based on your test results "
"2026/03/25 1:49:29 PM GMT+3","Female","19 - 25","No","Rarely","Yes","Arabic","4","4","Yes","Family member","Diabetes;Hypertension;Cardiac diseases;High cholesterol","No","5","5","All of the above","5","5","","","","","","","","","","","."
"2026/03/25 4:56:57 PM GMT+3","Male","19 - 25","No","Rarely","Maybe","English","5","5","Yes","Family member","Diabetes;Hypertension;Cardiac diseases;High cholesterol","No","5","5","All of the above","5","5","","","","","","","","","","","Guidelines to screening tests"
"2026/03/25 5:27:31 PM GMT+3","Female","19 - 25","Maybe","Frequently","Yes","English","5","5","No","Family member","Diabetes;Hypertension;Cardiac diseases;High cholesterol","No","5","5","All of the above","5","5","","","","","","","","","","","Health reports and progress charts"
"2026/03/25 6:09:51 PM GMT+3","Female","19 - 25","No","Rarely","No","English","4","5","Yes","Family member","Cardiac diseases;High cholesterol","No","4","4","All of the above","4","4","","","","","","","","","","","-"
"2026/03/25 9:47:25 PM GMT+3","Male","26 - 30","Yes","Occasionally","Yes","English","5","5","Yes","Healthcare Provider","","","","","","","","5","5","5","5","5","","","","","","Personalized approach to patients to help stop bad habits like smoking. "
"2026/03/26 4:02:01 AM GMT+3","Female","19 - 25","Yes","Frequently","Yes","English","5","5","Yes","Patient","Diabetes;Hypertension;Cardiac diseases;High cholesterol","No","4","5","All of the above","5","5","","","","","","","","","","","To analyze patterns over time and warn you before something becomes a problem. "
